,Unnamed: 0,cool,date,eliteStatus,friends,funny,location,name,phone,ratings,review,reviewHistory,useful,userlink,username
19453,10,4.0,6/9/2015,,159,1.0,"St. Petersburg, FL",Sik Gaek Chun Ha,7183217770,5.0 star rating,"I'm in love.  This place made me feel like I was straight back in Korea.  The servers are all young, adorable, upbeat kids and super attentive.  The decor is super Korean eclectic and made for a great place to camp out and eat during a heavy rain storm.The seafood was heavenly.  You can grill it right at your table...which made for a nice, cozy environment while we kicked back some soju and beer.  I would be sure to recommend this place to any friends visiting Flushing and was a fun and relaxing dining experience.  Be sure to check out the fun murals outside for some photo opportunities!",107,3.0,/user_details?userid=NyALA5Kw0dmISloaUa34dg,Cindy M.
19454,11,6.0,4/24/2015,,690,4.0,"Queens, NY",Sik Gaek Chun Ha,7183217770,3.0 star rating,"This place is more of a 3.5 for me, but I would want to go back and try other stuff. I love the atmosphere, it really does have an underground, Korea feel to it and I love the old school Kpop. It's a drinking place with food, the prices are kinda high but that's what happens when you go to a popular place. In speaking of popular, Bourdain filmed a No Reservations episode here, the Flushing episode, with Chef David Chang. My table shared a yogurt soju which was OK, but super girlie. The over easy egg is good and made well but I was so confused why they served it. There was celery and cucumber with bean paste for banchan plus the over easy egg? That's it? They also give steamed egg during the meal, I was surprised they didn't give more banchan.The food:Fresh Octopus- The live octopus is kinda the big draw here. I saw Bourdain and David Chang eat it on an episode of No Reservations and I wanted to try it ever since. The idea seems rather fun, but the octopus itself, doesn't have a lot of flavor, I do however prefer the salt oil condiment over the bean paste. Also, make sure you chew thoroughly and don't be shocked when it sucks onto the inside of your cheek holding on for dear life. I thought the octopus was fun to try but it didn't have a lot of flavor and for $25 bucks it is INSANELY pricey. yelp.com/user_local_phot…Spicy mixed Seafood Chul-Pan. The pot has a nicely flavored broth that has a tiny spicy kick. The pot consists of mussels, clams, one crab, squid, rice cakes, shrimp, enoki and button mushrooms. I was pretty happy with everything. This is a large dish and is enough for four or more. yelp.com/user_local_phot… yelp.com/user_local_phot…Fried Rice With Roe and cheese- At the end of the Chul Pan, you have the option to add a fried rice to the remaining broth left in the pot, my group also added cheese, as well. I thought the rice was a nice touch, the rice absorbed a lot of the seafood broth, but my only issue was some sand from the seafood was at the bottom of the pot therefore cooked in with the rice. Overall, a nice addition to the pot. yelp.com/user_local_phot…Seafood BBQ- Small grilled assorted shellfish. Clams, prawns, mussels, stuffed clams, and stuffed clams with cheese, there was also a spicy sauce that is heated in a baby cast iron skillet that goes well with the seafood.. This dish had more noticeably fresher seafood than the Chul-Pan, the prawns were my clear winner. The clams were so fresh and had a nice briny taste to them. The mussels were so fat and meaty, the mussels were excellent. The stuffed clams were kinda weird for me since it taste like chopped clam with salad dressing. The stuffed clam with cheese was a little better because the flavor of the cheese comes through with the clam meat but the green peppers completely overwhelmed this dish. This dish was 50/50 for me.",617,8.0,/user_details?userid=Y_iTTjKvV5hLy-880SZzlA,Ben L.
19455,12,2.0,10/3/2015,,12,,"Kings Park, NY",Sik Gaek Chun Ha,7183217770,5.0 star rating,"I came here on a Saturday night with 10 friends. You can imagine how hectic it would get but they did a really good job handling such a big party size. We ordered: 1 Seafood Pancake1 Seafood dukkbokki with cheese1 Empire seafood hot pot1 seafood steam pot1 Watermelon soju.And at the end, we added udon to the hot pot, and used the broth for the empire seafood hotpot for fried rice (with roe and seaweed).Everything was on point. No complaints at all! The staff even breaks all of the shells for you. EVERYTHINGGGG was sooo good! It was kind of funny because we were all asking where the rice cakes/udon were.. Everyone was looking for the cheaper stuff because there was so much seafood. Total cost: $295. Well worth the cost! We were all full and jolly. :)",10,1.0,/user_details?userid=bJesWJHr55erMOaA5EqaEw,Hien N.
19456,13,2.0,5/2/2015,,321,1.0,"Manhattan, NY",Sik Gaek Chun Ha,7183217770,5.0 star rating,"Do you wanna try out the real live octopus that will bite your tongue gently? How about an empire size of seafood pot including crabs, lobster, mussels, clams and any other sea creatures boiled in spicy broth? Then you will have to check this place out.Not as fancy as those high level Korean restaurants, Sik Gaek nevertheless tried to present the most authentic seafood in a customer-friendly way. You will automatically find yourself being obsessed easily. With a small glass of watermelon soju accompanied by spicy rice cake to end the dinner, I cannot think of a better way to unwind a horribly busy week.This place was too far for me to reach out on an ordinary basis, however this one time visit definitely left me enough good tastes to memorize. Well done!",655,2.0,/user_details?userid=Dxdev0VPVFpNLvrpKzu8SQ,Elaine H.
19457,14,2.0,8/28/2015,,3,1.0,"New York, NY",Sik Gaek Chun Ha,7183217770,4.0 star rating,"This is a place I would come here with friends and chill during lunch. The service was pretty decent. It was an easy enter and seated place, it only took few minutes to get a refill on a water that was standing out visibly on the side of the table. The food was pretty good. I wished they added more flavors to the soup because it was very plain to me.After reading the reviews. I expected more noodles and less veggies. 4/5 of our bowl was veggies and only a little part was noodle. Definitely not an even split between noodles and veggies for everyone if you bring multiple guests. But that's fine.Note if you need to use the bathroom. This is a not a place you should go. Its pretty thirty. The tables a tad sticky when we sat. It feels like it was cleaned in a rush.Overall.The service was 9/10.The food was okay with a 6/10.The cleanliness of the place was 6/10.",7,1.0,/user_details?userid=zTXtKDa_aCek_vtkkHgdlQ,Edward S.
19458,15,1.0,10/3/2015,,237,,"Campbell, CA",Sik Gaek Chun Ha,7183217770,4.0 star rating,"I am a fan of Sik Gaek Chun Ha. My cousin took me here while I was visiting NY.We ordered the seafood hot pot for $99, some LIVE Squid and cheesy pumpkin. I can say everything tasted pretty good. The seafood hot pot was HUGE. IT will easily feed 5-6 people. The pumpkin dish was a bit too cheesy for my liking but it was still good. The live squid is a different story. This place serves a dish that is chopped up raw squid but it is still turning and twisting on the dish. I caught it on video.Overall: This place is a good option if you've never had it.",183,,/user_details?userid=4iFjmlWVlV9HAPGJKw9aAQ,Stephen C.
19459,16,3.0,10/24/2015,,58,2.0,"Fresh Meadows, NY",Sik Gaek Chun Ha,7183217770,4.0 star rating,"Huge pots of seafood, and live octopus! Upon walking in you will feel like you stumbled on a Korean street vendor, it mainly has stool seating, with buckets for your seafood shells. Along the walls are booth seating with dollar bills stuck to the wall and photos from their ""birthday celebration"" with you. The pumpkin seafood pot is delicious, and fresh. The live octopus eaten with the jalapeno and sauce is tasty and fun once you get past what you are actually putting in your mouth. Give this place a try, its a different experience than the typical Korean bbq, or kalbi/soonduboo spots.",50,2.0,/user_details?userid=EHZNJJV1YzAgoQw6PT67UA,Bryan O.
19460,17,2.0,10/8/2015,,15,2.0,"New York, NY",Sik Gaek Chun Ha,7183217770,1.0 star rating,"Bland food, super noisy ambiance(we're not coming here clubbing), mediocre service, pricey... I really don't know any good about it. And most importantly, we're not here to be disciplined how much we should tip. Owner and management, please remember:Asking customer to tip 20%+ is ablosolutely a DON'T!Chasing customer outdoors asking for extra $$ is inexcusably an EPIC FAIL!I certainly understand we need to tip more at times, but we're not party of 6+, you're not Michelin-starred, and this isn't for spacial event, then why would we? You gotta know a 15% gratuity is NY standard, and it's a favor, not a requirement! You gotta earn it, not take it for granted.",49,8.0,/user_details?userid=sR1l_huXmWBqx4VD77fPGA,Jean-Paul L.
19461,18,,11/24/2015,,29,,"Brooklyn, NY",Sik Gaek Chun Ha,7183217770,4.0 star rating,"Been a favorite whenever I wanted huge seafood casserole/hotpot. Everytime I come here I'll order that. then when the seafood is almost all cleared, add in ramen or udon into the pot to cook some more. All that flavors! Can't go wrong with that.This is also for those who like to try something a little outside of comfort zones. They serve up live octopus with a little dipping sauce on the side. This is best going in at least a group of 4. Otherwise can't order much to try out since some of the portions are big.They also usually serve a cucumber drinks post meal, but that's hit or miss, since sometimes they do have it and other times they don't. Definitely a worthwhile visit if you're big on seafood.",11,,/user_details?userid=P28yn_mgz6EeQd4VqZ6Gjw,nelson w.
19462,19,1.0,11/13/2015,,13,,"Fresh Meadows, NY",Sik Gaek Chun Ha,7183217770,5.0 star rating,Let me first begin with the Music. It's Unexpected I must say but it's  Freakin Awesome! Hip hop! Club stuff but at the perfect sound. I can still hear ppl talk.   The food is Delicious! the decor is cool. This place rocks.,12,,/user_details?userid=TdHsdNVmHfsHdKE_g16LtA,Jackie M.
19463,20,2.0,6/14/2015,,265,1.0,"Woodhaven, NY",Sik Gaek Chun Ha,7183217770,3.0 star rating,"I now know this as the restaurant that serves live Octopus ($25) and has angel wings painted on the outside walls. I came with a group of 10 people and was seated immediately on a Wednesday evening. We ordered the Watermelon Soju, two Imperial pots ($100 each), and the live Octopus. If you are a seafood fanatic, defintely give this place a try and order the Imperial pot; it is loaded with  clams, mussels, squid, noodles, soup, and a lobster. The watermelon Soju was okay, nothing special in my opinion but it's always cool to drink alcohol out of a fruit. It was a friend's birthday and the friendly staff here definitely know how to celebrate (no spoilers here, just let them know whose birthday it is haha). I give it 3 stars because the price is steep and the food didn't really impress me. Is it worth trying? Sure is!",96,4.0,/user_details?userid=nt0-pT4xAKoiOgZB1zb6uQ,Matthew L.
19464,21,27.0,9/13/2015,,253,3.0,"New York, NY",Sik Gaek Chun Ha,7183217770,4.0 star rating,"Sik Gaek Chun Ha has been on my ""to do"" list for some time because I've read so many positive reviews about it.Last night, I finally tried it with a group of friends, and we enjoyed the seafood platter and octopus, which was fresh and yummy!It was very crowded and we had to ask for things like our drinks more than once because the staff was so slammed, but everyone there was very sweet and as accomodating as possible given the rush.  I just feel glad that we made reservations in advance, as should you.",61,30.0,/user_details?userid=9_xtLklxyUJfyw0IjkrEow,Valeria M.
19465,22,1.0,11/2/2015,,182,,"Brooklyn, NY",Sik Gaek Chun Ha,7183217770,5.0 star rating,"I love this place. All you eat steamed eggs and rice cake! If you want to try something different and exotic, you should definitely try the live octopus. Their oysters are so big and fresh also! I also love their seafood pot. It's good for a party of people and after you are nearly done, you can choose to add rice and mix it in. It's so good! I have been here numerous times and it never disappoints. The staff is super friendly and will always come check on yiu. The atmosphere is very lively and almost always packed.",97,,/user_details?userid=9V-VbjvM2_KSvty6iVWFvA,Grace C.
19466,23,9.0,10/28/2014,,184,9.0,"Queens, NY",Sik Gaek Chun Ha,7183217770,4.0 star rating,"This place is just so fun. I love the casual ambience - their plastic stools, the wooden tables with bbq grill, kpop blasting (albeit sometimes too loud, resulting in near shouting conversations). All in all, a good time if you come with a big group of friends.One thing to note is that they only serve the live octopus when it is in season. I would recommend calling ahead on the day of if that's the reason you're going. Also, if you order the large seafood pot, you can add an order of live octopus (if in season) for, I believe it was, $10, instead of getting it a la carte for $24. Spend that $14 towards soju instead. ^^Most recently, a group of 8 of us dined here and ordered the large seafood pot - so good! (Lobster, snow crab legs, clams, shrimp, mussels, conch, abalone, udon noodles and veggies! You can also order this non-spicy if that's your thing.) We added a couple of orders of udon noodles after devouring the seafood. We also got live octopus. (Always fun when your dining mates have never had it before. Pictures and videos ensued.) And, a dish with sautéed seafood smothered in cheese served inside a steamed kabocha pumpkin. It was my first time having this dish here and I liked it a lot though at this point, it was seafood overload and I would've liked some meat. (There are other places that sell this dish with braised short ribs.) All in all, a very satisfying meal.We washed it all down with a couple of bottles of soju and beer... and the ever popular watermelon soju. Too sweet for my taste, but nothing a bit of self mixing can't fix ;)If loud music isn't your thing, I would recommend coming on a weekday. They're open late even then til 1 am (closed Mondays though!). Also, as they are less busy, their service is more attentive if you feel on weekends they are not attentive enough to you.",143,15.0,/user_details?userid=GF-YngDOev1FzZsOWA-RDA,Kate Y.
19467,24,1.0,6/2/2015,,4,1.0,"New York, NY",Sik Gaek Chun Ha,7183217770,4.0 star rating,"Disappointed they didn't have the live octopus .. The bulgogi in broth and galbi is to die for. Definitely returning for it. (~$25+$25)Seafood tofu soup is big in proportion compared to BCD, but the taste was only mediocre. ($11)Watermelon soju was about two pitchers ...Little alcohol in it but overall good. ($30)Bill came to be about $104",23,3.0,/user_details?userid=WEiiW-zcmXCoTiccg1NUoQ,Annabelle D.
19468,25,,11/4/2015,,0,,"New York, NY",Sik Gaek Chun Ha,7183217770,4.0 star rating,"Come here hungry and with a group. Walked in this past Saturday night with my family around 8 PM and was seated immediately. Could have been the fact it was Halloween so there weren't as many people out to dinner. As soon as I walked in, I noticed the music was very loud. They seated us on the right wing of the restaurant and the music was so loud, I felt like I was screaming across the very small table to talk. They eventually turned the music down upon request. As soon as you sit down, they fry eggs for you as a starter. Then they bring over rice cakes in a spicy sauce. Among the three of us, we started off with a seafood pancake. It was filled with seafood and a lot thicker than the previous ones I have had. It was also not as oily which was great. Then, we ordered the seafood hot pot which was $54.99. It came with clams, mussels, mushrooms, green bean sprouts, and a little bit of udon noodles. There are extras (seafood, noodles, vegetables) you can add on for a surcharge. The broth was pretty spicy, but so delicious. There was more than enough food than the three of us could eat. We ended up taking the leftover soup and noodles home for lunch the following day.",42,,/user_details?userid=3aNaKmJIwXJ1_cSALBb0QA,Sally L.
19469,26,1.0,6/22/2015,,175,1.0,"Brooklyn, NY",Sik Gaek Chun Ha,7183217770,4.0 star rating,"Seems like every time i come here i always ended up getting the $100 seafood pot. Rather is with 3 people or 6. The pot is delicious and very filly! It comes with large variety of seafood ranging from clams to snow crab to octopus.Other than the signature seafood pot, their live octopus sashimi is really good and interesting as well! The oyster here is really fresh but can be pricey if you eat a lot of oysters! Definitely will be coming back",96,3.0,/user_details?userid=M0Td0yLjm7seOmcohEMq0g,Chao L.
19470,27,1.0,6/26/2015,,0,1.0,"New York, NY",Sik Gaek Chun Ha,7183217770,5.0 star rating,Great ingredients and flavor. Service was very good and the watermelon soju punch am was delicious and refreshing.,14,1.0,/user_details?userid=aDH_7pKkuCtoVMkXOfejxw,ben r.
19471,28,1.0,4/12/2015,,114,1.0,"Flushing, NY",Sik Gaek Chun Ha,7183217770,3.0 star rating,"I came here with some friends, there were a total of 3 of us.  We ordered the spicy seafood pot for $99.  The setting.  The tables look worn out, and you sit on plastic stools.  It makes it feel like you're sitting in an old restaurant in Korea.  I thought it was very appropriate and everybody around us looked like they were enjoying their time there.The food.  We only had the seafood pot for $99 and it says its good enough for 4 people.  The flavor was good, and the seafood was fresh.  The clams, mussels, and cabbage were really juicy and nothing was lacking with the flavoring of in the pot.  What was missing was the fact that it wasn't enough food for all of us (menu said its good for 4 people, there were only 3 of us).  We didn't want to spend more money than we already did, because we probably still won't be full.  We ended up going to McDonalds afterwards.Everything was nice about the restaurant and food, but I dock of a star because it claimed that it would be enough food for 4 people.",142,3.0,/user_details?userid=lC3QFMTuGoK2-gfXUd8UhQ,Stephen L.
19472,29,1.0,6/7/2015,,7,1.0,"Brooklyn, NY",Sik Gaek Chun Ha,7183217770,4.0 star rating,"If you are a huge fan of seafood, this place will definitely satisfy your cravings!I came here on a weekday with a party of 7 for my friend's birthday, so there was no wait time and we were able to order the live baby octopus! The moment we were seated, the waitress began frying two eggs and also served us dukbboki, which I really enjoyed. Here's what we ordered:Seafood pancake - VERY DELICIOUS! I am easily weirded out by certain seafood like squid and octopus but can I just say.....I AM A HUGE FAN OF SEAFOOD PANCAKES NOW!Watermelon Soju - I'm not a fan of alcohol, but since it was my friend's birthday, I had to ingest some. Honestly, I can taste the alcohol very profoundly (maybe because I'm sensitive), but my friends said they couldn't taste the alcohol content at all.Thin Sliced Beef Rib Eye - This was satisfying as well. I didn't eat much of it, but my friends really liked it.Live Baby Octopus - It took me about 45 minutes after we were served this dish for me to finally try it because I was very, very skeptical. I hate to admit it, but they were pretty good! It tastes even better with the sauce. It was kind of embarrassing though because I said, ""IT'S TICKLING MEEE!"" a little TOO loud. Yes...I would be that person in the restaurant to squeal..Assorted Seafood Hot Pot - The main dish! It's definitely a very attractive dish and tastes very yummy, too! The server was kind enough to do all the laborious work for us so that we would have an easier time eating. However, when I kindly asked the waiter how he was able to touch the boiling hot liquid, he ignored me..Overall, the food was great but the service, not so great. They did do the labor work for us and served us eggs on our plates, but besides that, they totally ignored us whenever we called for them and at some point, they just stopped looking our way. I paid with my credit card and did not receive my credit card until about 25-30 minutes later after I asked for it back. Because of their service, I gave them 4/5.",18,2.0,/user_details?userid=cKVx0tbbIMIivsrSOGsnmw,Joyce Q.
19473,30,1.0,5/7/2015,,10,1.0,"Woodside, NY",Sik Gaek Chun Ha,7183217770,5.0 star rating,This place is amazing!! I love the casual bar like style on the inside it really makes me feel like I am in Asia again. It doesn't feel like too much. And it is pretty spacious. The food was outstanding! Worth the price and the portion size is worth your money. First off the servers gave us an egg dish in a stone bowl my favorite part when I go to korean places. We also got runny side up eggs as well. My friend and I ordered the ramen and the soup was to die for. It was one of the best ramen dishes I have ever had. We also ordered a seafood rice cake dish with cheese and it was so delicious as well. The sauses and soup base were top notch! I would come back in a heart beat! I have to try the live octopus at some point! Go people go! Haha,128,1.0,/user_details?userid=WnXTuutM7z_OAZt4e7MYuA,Crystal C.
19474,31,1.0,9/9/2015,,60,1.0,"Flemington, NJ",Sik Gaek Chun Ha,7183217770,4.0 star rating,I thought there service was good. The food was tasty and fresh. Especially liked that they have live octopus. I would definitely go back here again.,118,1.0,/user_details?userid=MGScVll8Z5RWfvZTuT8G3g,Debbie K.
19475,32,1.0,8/23/2015,,44,1.0,"Flushing, NY",Sik Gaek Chun Ha,7183217770,5.0 star rating,"I agree with the reviews here.Wait: 15 min for Sunday night dinner, not bad.Environment: Loud, noisy, and upbeatWaiters: friendly and fun. They try their best to be attentive while they're busy (esp w/all the bday celebrations)Food: $99 seafood chul-pan delicious and DEFINITELY for 5-6 people.  Just remember to turn off the fire yourself after 10 mins or it'll get overcooked.  Pork belly, rice cake, japchae all decent. I never used the sauces on the side actually...Drink: watermelon juice and lychee soju are both so delicious! Try this place if you've never been for sure!",9,3.0,/user_details?userid=4TdaGOIXxSzrYyHFFVtn3g,Eva F.
